id,continent,country,incomeperperson,alcconsumption,breastcancerper100th,co2emissions,femaleemployrate,HIVrate,lifeexpectancy,suicideper100th,employrate,urbanrate,breastcancernbdeaths
1,Asia,Afghanistan,0,0.03,26.8,75944000,25.6000003814697,,48.673,6.68438529968262,55.7000007629394,24.04,874
2,Europe,Albania,1914.99655094922,7.29,57.4,223747333.333333,42.0999984741211,,76.918,7.69932985305786,51.4000015258789,46.72,300
3,Africa,Algeria,2231.99333515006,0.69,23.5,2932108666.66667,31.7000007629394,0.1,73.131,4.8487696647644,50.5,65.22,2019
4,Africa,Angola,1381.00426770244,5.57,23.1,248358000,69.4000015258789,2,51.093,14.5546770095825,75.6999969482422,56.7,654
5,South America,Argentina,10749.4192379463,9.35,73.9,5872119000,45.9000015258789,0.5,75.901,7.765584,58.4000015258789,92,5362
6,Asia,Armenia,1326.74175718861,13.66,51.6,51219666.6666667,34.2000007629394,0.1,74.241,3.74158787727356,40.0999984741211,63.86,561
7,Oceania,Australia,25249.98606148,10.21,83.2,12970092666.6667,54.5999984741211,0.1,81.907,8.4700301251191,61.5,88.74,2667
8,Europe,Austria,26692.9841066319,12.4,70.5,4466084333.33333,49.7000007629394,0.3,80.854,13.09437,57.0999984741211,67.16,1637
9,Europe,Azerbaijan,2344.89691619809,13.34,31.5,511107666.666667,56.2000007629394,0.1,70.739,1.38096463680267,60.9000015258789,51.92,557
10,North America,Bahamas,19630.5405471267,8.65,54.4,137555000,60.7000007629394,3.1,75.62,3.3744158744812,66.5999984741211,83.7,32
11,Asia,Bahrain,12505.2125447354,4.19,40.2,503994333.333333,30.2000007629394,,75.057,4.41499042510986,60.4000015258789,88.52,40
12,Asia,Bangladesh,558.062876627297,0.17,16.6,598774000,53.5999984741211,0.06,68.944,14.5383567810059,68.0999984741211,27.14,3376
13,North America,Barbados,9243.58705259742,6.42,62.5,36160666.6666667,60.2999992370606,1.4,76.835,3.10860252380371,66.9000015258789,39.84,47
14,Europe,Belarus,2737.67037938365,18.85,36,999874333.333333,48.5999984741211,0.3,70.349,26.8746902951384,53.4000015258789,73.46,1254
15,Europe,Belgium,24496.0482640925,10.41,92,10897025333.3333,41.7000007629394,0.2,80.009,15.95385,48.5999984741211,97.36,2712
16,North America,Belize,3545.652173906,5.92,29.8,14058000,38.7999992370606,2.3,76.072,9.38879585266113,56.7999992370606,51.7,9
17,Africa,Benin,377.039699461343,2.08,28.1,37950000,58.2000007629394,1.2,56.081,6.05773973464966,71.5999984741211,41.2,406
18,Asia,Bhutan,1324.19490626644,0.54,21.8,6024333.33333333,39.9000015258789,0.2,67.185,15.5426025390625,58.4000015258789,34.48,74
19,South America,Bolivia,1232.79413697982,5.78,24.7,254939666.666667,61.5999984741211,0.2,66.618,2.0341784954071,70.4000015258789,65.58,357
20,Europe,Bosnia and Herzegovina,2183.34486702398,9.6,58.9,236419333.333333,34.9000015258789,,75.67,11.8367156982422,41.2000007629394,47.44,600
21,Africa,Botswana,4189.43658749046,6.97,33.4,78943333.3333333,38.7000007629394,24.8,53.183,11.2139701843262,46,59.58,125
22,South America,Brazil,4699.41126207406,10.08,46,9580226333.33333,53.2999992370606,0.45,73.488,4.777007,64.5,85.58,11283
23,Asia,Brunei,17092.460003775,1.86,20.6,254206333.333333,55.5,,78.005,1.37000155448914,63.7999992370606,74.82,12
24,Europe,Bulgaria,2549.55847381023,11.4,46.2,3157700333.33333,42.0999984741211,0.1,73.371,9.216544,47.2999992370606,71.1,1115
25,Africa,Burkina Faso,276.200412964869,7.32,30.6,20628666.6666667,75.8000030517578,1.2,55.439,8.20422172546387,81.3000030517578,19.56,838
26,Africa,Burundi,115.305995904875,9.65,19.5,8092333.33333333,83.3000030517578,3.3,50.411,14.6809358596802,83.1999969482422,10.4,294
27,Asia,Cambodia,557.947512595975,4.71,21.5,45411666.6666667,73.4000015258789,0.5,63.125,4.96107149124146,78.9000015258789,21.56,453
28,Africa,Cameroon,713.639302724279,7.9,29.7,125172666.666667,49,5.3,51.61,7.21422052383423,59.0999984741211,56.76,1162
29,North America,Canada,25575.3526227298,10.2,84.3,24979045666.6667,58.9000015258789,0.2,81.012,10.10099,63.5,80.4,5305
30,Africa,Cape Verde,1959.8444724473,4.98,28.1,5214000,43.5999984741211,,74.156,5.63333368301392,55.9000015258789,59.62,33
31,Africa,Central African Rep.,239.518749365157,3.17,16.5,8338000,62.9000015258789,4.7,48.398,13.5484199523926,71.3000030517578,38.58,166
32,Africa,Chad,275.884286531631,4.39,16.5,7608333.33333334,66.3000030517578,3.4,49.553,8.28307056427002,68.9000015258789,26.68,309
33,South America,Chile,6334.10519399913,8.81,43.9,1839471333.33333,35.5,0.4,79.12,10.17187,51,88.44,1126
34,Asia,China,2425.4712932681,5.56,18.7,101386215333.333,68.9000015258789,0.1,73.456,16.9132480621338,72.8000030517578,43.1,36630
35,South America,Colombia,3233.42378012982,6.59,30.3,2269806000,54.9000015258789,0.5,73.703,4.907702,63.2000007629394,74.5,2253
36,Africa,Comoros,336.368749481516,0.28,19.5,2368666.66666667,59.2999992370606,0.1,61.061,4.7510838508606,68,28.08,32
37,Africa,Congo Dem. Rep.,103.775857241166,3.39,10.3,169180000,50.4000015258789,,48.397,14.713020324707,66.1999969482422,33.96,1161
38,Africa,Congo Rep.,1253.29201505445,4.46,20.6,46306333.3333333,52.2999992370606,3.4,57.379,9.87376117706299,64.1999969482422,61.34,163
39,North America,Costa Rica,5188.9009351913,5.81,30.9,148470666.666667,40.0999984741211,0.3,79.311,6.597168,58.5999984741211,63.26,238
40,Africa,Cote d'Ivoire,591.06794433684,6.47,26,228748666.666667,38.0999984741211,3.4,55.377,20.3179302215576,59.9000015258789,48.78,989
41,Europe,Croatia,6338.49466772177,15,62.1,310024000,39.4000015258789,0.06,76.64,14.77625,47.0999984741211,57.28,841
42,North America,Cuba,4495.04626152988,5.12,31.2,1286670000,43.7000007629394,0.1,79.143,10.57191,56,75.66,1068
43,Europe,Cyprus,15313.8593472276,8.84,67.2,183535000,51.2999992370606,,79.591,2.206169,59.0999984741211,69.9,157
44,Europe,Czech Rep.,7381.31275080681,16.47,58.4,1776016000,47.5999984741211,0.06,77.685,12.36798,56,73.5,1953
45,Europe,Denmark,30532.2770436986,12.02,88.7,3503877666.66667,58.0999984741211,0.2,78.826,8.973104,63.0999984741211,86.68,1390
46,Africa,Djibouti,895.318339642724,1.87,19.5,14054333.3333333,,2.5,57.937,4.99347591400146,,87.3,37
47,North America,Dominican Rep.,4049.16962912605,6.28,36.1,446365333.333333,40.5,0.9,73.396,6.5195369720459,52.7000007629394,69.02,378
48,South America,Ecuador,1728.02097614196,9.43,23.5,692039333.333333,45.5,0.4,75.632,8.50468444824219,59.7000007629394,65.58,498
49,Africa,Egypt,1975.55190593959,0.32,24.2,3341129000,18.2000007629395,0.06,73.235,1.79990363121033,42.4000015258789,42.72,4911
50,North America,El Salvador,2557.43363775919,3.99,13.6,143586666.666667,44.7999992370606,0.8,72.196,7.304886,58.2000007629394,60.7,138
51,Africa,Equatorial Guinea,8654.53684493545,6.12,16.5,26125000,39.5999984741211,5,51.088,10.1293497085571,61.7000007629394,39.38,20
52,Africa,Eritrea,131.79620701044,1.64,19.5,7315000,51.7000007629394,0.8,61.597,8.91336250305176,64.9000015258789,20.72,178
53,Europe,Estonia,6238.53750622149,17.24,47.7,277170666.666667,52.0999984741211,1.2,74.825,16.95924,56.5,69.46,252
54,Africa,Ethiopia,220.891247922332,4.1,24.7,119958666.666667,73,,59.274,10.0719423294067,80.6999969482422,17,3644
55,Oceania,Fiji,2230.67637410844,2.76,31.2,35717000,36.7999992370606,0.1,69.245,3.94025897979736,56.4000015258789,52.36,48
56,Europe,Finland,27110.731590755,13.1,84.7,2420300666.66667,53.4000015258789,0.1,79.977,16.23437,57.2000007629394,63.3,838
57,Europe,France,22878.4665673261,12.48,91.9,33341634333.3333,45.5999984741211,0.4,81.539,14.09153,51.2000007629394,77.36,11643
58,Oceania,French Polynesia,0,,34.2,19800000,,,75.133,,,51.64,38
59,Africa,Gabon,4180.765820678,9.46,18.2,170804333.333333,52.5999984741211,5.2,62.703,7.7450647354126,59,85.04,71
60,Africa,Gambia,354.599726291282,3.58,6.4,7355333.33333333,65.6999969482422,2,58.491,6.44915676116943,71.6999969482422,56.42,24
61,Europe,Georgia,1258.76259631224,6.66,51.8,81191000,48.5,0.1,73.737,1.57435011863708,55.5999984741211,52.74,1003
62,Europe,Germany,25306.1871926737,12.14,79.8,41229554666.6667,46.7999992370606,0.1,80.414,9.211085,53.5,73.64,17994
63,Africa,Ghana,358.979539801255,3.11,28.1,188268666.666667,64.0999984741211,1.8,64.228,6.28855466842651,65.0999984741211,50.02,1399
64,Europe,Greece,13577.8798850901,11.01,51.6,2712915333.33333,37.7999992370606,0.1,79.915,2.816705,49.5999984741211,61,1569
65,Oceania,Guam,0,,50.4,,,,76.142,,,93.16,16
66,North America,Guatemala,1860.75389496662,7.1,25.9,242594000,44,0.8,71.172,2.234896,62.7000007629394,48.58,436
67,Africa,Guinea,411.501447251245,0.79,15.3,46684000,77.5999984741211,1.3,54.097,7.44382619857788,81.5,34.44,285
68,Africa,Guinea-Bissau,161.317137104969,3.9,28.1,7813666.66666667,49.9000015258789,2.5,48.132,7.56369209289551,65.9000015258789,29.84,87
69,South America,Guyana,1200.65207493742,8.7,29.5,69329333.3333333,41.7999992370606,1.2,69.927,35.752872467041,58.9000015258789,28.38,37
70,North America,Haiti,371.424197524244,5.92,4.4,40857666.6666667,35.4000015258789,1.9,62.095,1.51924800872803,55.9000015258789,46.84,62
71,North America,Honduras,1392.41182851517,4.43,25.9,131703000,34.2000007629394,0.8,73.126,7.06018447875976,56.2999992370606,47.88,250
72,Europe,Hungary,5634.00394801682,16.12,63,4244009000,40.2999992370606,0.06,74.414,20.16201,47.2999992370606,67.5,2340
73,Europe,Iceland,33945.3144216089,7.38,90,92770333.3333334,69.5999984741211,0.3,81.804,11.4261808395386,73.5999984741211,92.26,43
74,Asia,India,786.700098148644,2.69,19.1,30391317000,32.2999992370606,0.3,65.438,18.5838260650635,55.4000015258789,29.54,44795
75,Asia,Indonesia,1143.8315135159,0.56,26.1,6710201666.66667,44.0999984741211,0.2,69.366,11.3961114883423,61.5,51.46,10881
76,Asia,Iran,2161.54650966562,1.03,17.1,9183548000,26.8999996185303,0.2,72.974,6.02188205718994,47.7999992370606,68.46,2039
77,Asia,Iraq,736.268053798916,0.47,31.7,2421917666.66667,12.3999996185303,,69.042,17.0326461791992,37.4000015258789,66.6,1081
78,Europe,Ireland,27595.0913472761,14.92,74.9,1633778666.66667,51,0.2,80.557,10.36507,59.9000015258789,61.34,688
79,Asia,Israel,22275.7516607769,2.52,90.8,1561079666.66667,46.4000015258789,0.2,81.618,5.931845,51.2999992370606,91.66,978
80,Europe,Italy,18982.2692850615,9.72,74.4,19000454000,35.7999992370606,0.3,81.855,4.93004450889753,46.4000015258789,68.08,11345
81,North America,Jamaica,3665.34836857594,5.17,43.5,340090666.666667,47.5,1.7,73.127,4.41750717163086,58.2000007629394,53.3,222
82,Asia,Japan,39309.4788585145,7.79,32.7,46092214666.6667,46.2000007629394,0.06,83.394,18.94693,57.2999992370606,66.48,9178
83,Asia,Jordan,2534.00037997061,0.65,33,377303666.666667,13,,73.403,0.20144872367382,38.9000015258789,78.42,223
84,Asia,Kazakhstan,2481.71891791164,11.1,38.7,2484925666.66667,58.2000007629394,0.1,67.017,25.4046,63.7000007629394,57.94,1687
